mineral,technology,scenario,year,demand_kt
Electric vehicles - Mining,Grid battery storage,STEPS,2035,3.69918
Electric vehicles - Mining,Grid battery storage,STEPS,2040,0.0
Electric vehicles - Mining,Grid battery storage,STEPS,2045,0.0
Electric vehicles - Mining,Grid battery storage,STEPS,2050,0.0
Electric vehicles - Mining,Grid battery storage,NZE,2030,5.73577
Electric vehicles - Mining,Grid battery storage,NZE,2035,4.58555
Electric vehicles - Mining,Grid battery storage,NZE,2040,0.0
Electric vehicles - Mining,Grid battery storage,NZE,2045,0.0
Electric vehicles - Mining,Grid battery storage,NZE,2050,0.0
Electric vehicles - Mining,Grid battery storage,NZE,2030,6.93834
Electric vehicles - Mining,Grid battery storage,NZE,2035,6.215
Electric vehicles - Mining,Grid battery storage,NZE,2040,0.0
Electric vehicles - Mining,Grid battery storage,NZE,2045,0.0
Electric vehicles - Mining,Grid battery storage,NZE,2050,0.0
Electric vehicles - Mining,Hydrogen technologies,STEPS,2024,0.00359176
Electric vehicles - Mining,Hydrogen technologies,STEPS,2030,0.00409554
Electric vehicles - Mining,Hydrogen technologies,STEPS,2035,0.00451973
Electric vehicles - Mining,Hydrogen technologies,STEPS,2040,0.00356799
Electric vehicles - Mining,Hydrogen technologies,STEPS,2045,0.00343121
Electric vehicles - Mining,Hydrogen technologies,STEPS,2050,0.00469507
Electric vehicles - Mining,Hydrogen technologies,NZE,2030,0.0285021
Electric vehicles - Mining,Hydrogen technologies,NZE,2035,0.0281413
Electric vehicles - Mining,Hydrogen technologies,NZE,2040,0.0282596
Electric vehicles - Mining,Hydrogen technologies,NZE,2045,0.0395929
Electric vehicles - Mining,Hydrogen technologies,NZE,2050,0.0559656
Electric vehicles - Mining,Hydrogen technologies,NZE,2030,0.0642585
Electric vehicles - Mining,Hydrogen technologies,NZE,2035,0.0697531
Electric vehicles - Mining,Hydrogen technologies,NZE,2040,0.0595121
Electric vehicles - Mining,Hydrogen technologies,NZE,2045,0.0510738
Electric vehicles - Mining,Hydrogen technologies,NZE,2050,0.0659947
Electric vehicles - Mining,Hydrogen technologies,STEPS,2024,70.5868
Electric vehicles - Mining,Hydrogen technologies,STEPS,2030,148.242
Electric vehicles - Mining,Hydrogen technologies,STEPS,2035,146.435
